GRG_ID	GeneID	Approved Symbol	Approved Name	Type	Previous Symbols	Synonyms	Gene Family Tag	Gene family description	Chromosome	Accession Numbers	Enzyme IDs	Entrez Gene ID	Pubmed IDs	RefSeq IDs	UniProt ID(supplied by UniProt)	taxonomy ID	taxonomy name
GRG_26	HGNC:4878	HEXA	hexosaminidase A (alpha polypeptide)	Catabolic					15q24.1	M13520	3.2.1.52	3073	2952641, 3013851	NM_000520	P06865	9606	Homo Sapiens (Human)
GRG_27	HGNC:4879	HEXB	hexosaminidase B (beta polypeptide)	Catabolic					5q13.3	M13519	3.2.1.52	3074	2579389, 3013851	NM_000521	P07686	9606	Homo Sapiens (Human)
GRG_28	HGNC:26307	HEXDC	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing	Catabolic		FLJ23825			17q25.3	AK074405		284004	12477932	NM_173620	Q8WVB3	9606	Homo Sapiens (Human)
GRG_29	HGNC:5164	HPSE	heparanase	Catabolic		HPA, HSE1, HPSE1			4q21.3	AF144325		10855	10395325, 10395326	NM_006665	Q9Y251	9606	Homo Sapiens (Human)
GRG_30	HGNC:18374	HPSE2	heparanase 2	Catabolic	UFS	HPA2, HPR2			10q23-q24	AF282885		60495	11027606, 20605132, 9199567	NM_021828	Q8WWQ2	9606	Homo Sapiens (Human)
GRG_31	HGNC:5320	HYAL1	hyaluronoglucosaminidase 1	Catabolic		LUCA1, HYAL-1, FUS2, NAT6			3p21.3-p21.2	U90094	3.2.1.35	3373	9223416, 9409739		Q12794	9606	Homo Sapiens (Human)
GRG_32	HGNC:5321	HYAL2	hyaluronoglucosaminidase 2	Catabolic		LuCa-2, LUCA2			3p21.3	AJ000099		8692	9712871, 9790770	NM_003773	Q12891	9606	Homo Sapiens (Human)
GRG_33	HGNC:5389	IDS	iduronate 2-sulfatase	Catabolic	SIDS				Xq27.3-q28	M58342	3.1.6.13	3423			P22304	9606	Homo Sapiens (Human)
GRG_34	HGNC:5391	IDUA	iduronidase, alpha-L-	Catabolic		MPS1			4p16.3	M74715	3.2.1.76	3425	1832239	NM_000203	P35475	9606	Homo Sapiens (Human)
GRG_35	HGNC:6530	LCT	lactase	Catabolic					2q21	X07994	3.2.1.108, 3.2.1.62	3938		NM_002299	P09848	9606	Homo Sapiens (Human)
GRG_36	HGNC:6821	MAN1A1	mannosidase, alpha, class 1A, member 1	Catabolic					6q22	AK025599	3.2.1.113	4121	8223597	NM_005907	P33908	9606	Homo Sapiens (Human)
GRG_37	HGNC:6822	MAN1A2	mannosidase, alpha, class 1A, member 2	Catabolic		MAN1B			1p13	AF027156		10905	9592125	NM_006699	O60476	9606	Homo Sapiens (Human)
GRG_38	HGNC:6823	MAN1B1	mannosidase, alpha, class 1B, member 1	Catabolic		MANA-ER			9q34.3	AF145732		11253	10409699, 10521544	NM_016219	Q9UKM7	9606	Homo Sapiens (Human)
GRG_39	HGNC:19080	MAN1C1	mannosidase, alpha, class 1C, member 1	Catabolic		HMIC			1p35	AF261655		57134	10915796	NM_020379	Q9NR34	9606	Homo Sapiens (Human)
GRG_40	HGNC:6824	MAN2A1	mannosidase, alpha, class 2A, member 1	Catabolic	MANA2	GOLIM7			5q21.3		3.2.1.114	4124	1757461, 15004235		Q16706	9606	Homo Sapiens (Human)
GRG_41	HGNC:6825	MAN2A2	mannosidase, alpha, class 2A, member 2	Catabolic		MANA2X, HsT19662			15q25	L28821		4122	8524845	NM_006122	P49641	9606	Homo Sapiens (Human)
GRG_42	HGNC:6826	MAN2B1	mannosidase, alpha, class 2B, member 1	Catabolic	MANB	LAMAN			19p13.2		3.2.1.24	4125			O00754	9606	Homo Sapiens (Human)
GRG_43	HGNC:29623	MAN2B2	mannosidase, alpha, class 2B, member 2	Catabolic		KIAA0935			4p16.2	BC033307		23324	10231032, 16115860	NM_015274	Q9Y2E5	9606	Homo Sapiens (Human)
GRG_44	HGNC:6827	MAN2C1	mannosidase, alpha, class 2C, member 1	Catabolic	MANA1, MANA				15q24.2	AF044414	3.2.1.24	4123	1757461, 752528		Q9NTJ4	9606	Homo Sapiens (Human)
GRG_45	HGNC:6831	MANBA	mannosidase, beta A, lysosomal	Catabolic					4q24		3.2.1.25	4126	7876128		O00462	9606	Homo Sapiens (Human)
GRG_46	HGNC:15799	MANBAL	mannosidase, beta A, lysosomal-like	Catabolic		dJ1141E15.2			20q11.23			63905		NM_022077	Q9NQG1	9606	Homo Sapiens (Human)
GRG_47	HGNC:21072	MANEA	mannosidase, endo-alpha	Catabolic		FLJ12838, mandaselin			6q16.2	AK022900		79694		NM_024641	Q5SRI9	9606	Homo Sapiens (Human)
GRG_48	HGNC:26452	MANEAL	mannosidase, endo-alpha-like	Catabolic		FLJ31434			1p34.3	AK055996		149175		NM_152496	Q5VSG8	9606	Homo Sapiens (Human)
GRG_49	HGNC:7631	NAGA	N-acetylgalactosaminidase, alpha-	Catabolic		D22S674			22q13.2		3.2.1.49	4668			P17050	9606	Homo Sapiens (Human)
GRG_50	HGNC:7632	NAGLU	N-acetylglucosaminidase, alpha	Catabolic		NAG			17q21.2		3.2.1.50	4669		NM_000263	P54802	9606	Homo Sapiens (Human)
GRG_51	HGNC:17378	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	Catabolic		APAA, UCE			16p13.3	AF187072	3.1.4.45	51172	10551838, 12058031	NM_016256	Q9UK23	9606	Homo Sapiens (Human)
GRG_52	HGNC:7758	NEU1	sialidase 1 (lysosomal sialidase)	Catabolic	NEU				6p21	AF040958	3.2.1.18	4758	9054950		Q99519	9606	Homo Sapiens (Human)
GRG_53	HGNC:7759	NEU2	sialidase 2 (cytosolic sialidase)	Catabolic		SIAL2			2q37	Y16535		4759	10191093, 14613940	NM_005383	Q9Y3R4	9606	Homo Sapiens (Human)
GRG_54	HGNC:7760	NEU3	sialidase 3 (membrane sialidase)	Catabolic					11q13.5	AB008185		10825	10405317	NM_006656	Q9UQ49	9606	Homo Sapiens (Human)
GRG_55	HGNC:21328	NEU4	sialidase 4	Catabolic					2q37.3	BC012899		129807		NM_080741	Q8WWR8	9606	Homo Sapiens (Human)
GRG_56	HGNC:11217	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	Catabolic		HYAL5, PH-20, SPAG15			7q31	L13781			8282124, 8575780		P38567	9606	Homo Sapiens (Human)
GRG_57	HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Anabolic	A3GALT2P	IGBS3S	GLT6	Glycosyltransferase family 6 domain containing	1p35.1			127550	10854427, 18630988	NM_001080438		9606	Homo Sapiens (Human)
GRG_58	HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	Anabolic		A14GALT, Gb3S, P(k)			22q13.2		2.4.1.228	53947	10854428	NM_017436	Q9NPC4	9606	Homo Sapiens (Human)
GRG_59	HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Anabolic		alpha4GnT			3p14.3	AF141315		51146	10430883	NM_016161	Q9UNA3	9606	Homo Sapiens (Human)
GRG_60	HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Anabolic		A3GALNT, A3GALT1	bloodgroup, GLT6	Blood group antigens, Glycosyltransferase family 6 domain containing	9q34.2	AF134415	2.4.1.40, 2.4.1.37	28	184030	NM_020469	P16442	9606	Homo Sapiens (Human)
GRG_61	HGNC:18294	ALG1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	Anabolic		HMT-1, HMAT1	GLT1	Glycosyltransferase group 1 domain containing	16p13.3	AB019038	2.4.1.142	56052	10704531	NM_019109	Q9BT22	9606	Homo Sapiens (Human)
GRG_62	HGNC:23162	ALG10	ALG10, alpha-1,2-glucosyltransferase	Anabolic		FLJ14751, DIE2, ALG10A			12p11.21	AJ312278	2.4.1.256	84920		NM_032834	Q5BKT4	9606	Homo Sapiens (Human)
GRG_63	HGNC:31088	ALG10B	ALG10B, alpha-1,2-glucosyltransferase	Anabolic		KCR1			12q12	AY845858	2.4.1.256	144245		NM_001013620	Q5I7T1	9606	Homo Sapiens (Human)
GRG_64	HGNC:32456	ALG11	ALG11, alpha-1,2-mannosyltransferase	Anabolic		KIAA0266	GLT1	Glycosyltransferase group 1 domain containing	13q14.3	AK025456	2.4.1.131	440138	20080937	NM_001004127	Q2TAA5	9606	Homo Sapiens (Human)
GRG_65	HGNC:19358	ALG12	ALG12, alpha-1,6-mannosyltransferase	Anabolic		ECM39	DOLPM	Dolichyl D-mannosyl phosphate dependent mannosyltransferases	22q13.33	AJ303120	2.4.1.260	79087	11983712	NM_024105	Q9BV10	9606	Homo Sapiens (Human)
GRG_66	HGNC:30881	ALG13	ALG13, UDP-N-acetylglucosaminyltransferase subunit	Anabolic	GLT28D1, CXorf45	MDS031, YGL047W, FLJ23018, TDRD13	TDRD, OTUD	Tudor domain containing, OTU domain containing	Xq23	AF220051	2.4.1.141	79868	12477932	NM_018466	Q9NP73	9606	Homo Sapiens (Human)
GRG_67	HGNC:28287	ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit	Anabolic		MGC19780			1p21.3			199857	15615718	NM_144988	Q96F25	9606	Homo Sapiens (Human)
GRG_68	HGNC:23159	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	Anabolic		CDGIi, FLJ14511, hALPG2, NET38	GLT1	Glycosyltransferase group 1 domain containing	9q31.1	AK027417	2.4.1.132, 2.4.1.257	85365	12684507	NM_033087	Q9H553	9606	Homo Sapiens (Human)
GRG_69	HGNC:23056	ALG3	ALG3, alpha-1,3- mannosyltransferase	Anabolic		NOT56L, Not56, CDGS4, D16Ertd36e	DOLPM	Dolichyl D-mannosyl phosphate dependent mannosyltransferases	3q27.3	BC002839	2.4.1.258	10195	1058125	NM_005787	Q92685	9606	Homo Sapiens (Human)
GRG_70	HGNC:20266	ALG5	ALG5, dolichyl-phosphate beta-glucosyltransferase	Anabolic		bA421P11.2	GLT2	Glycosyltransferase family 2 domain containing	13q13.1	AF088028	2.4.1.117	29880	10359825	NM_013338	Q9Y673	9606	Homo Sapiens (Human)
GRG_71	HGNC:23157	ALG6	ALG6, alpha-1,3-glucosyltransferase	Anabolic					1p31.3	AF063604	2.4.1.267	29929	10359825, 11875054	NM_013339	Q9Y672	9606	Homo Sapiens (Human)
GRG_72	HGNC:23161	ALG8	ALG8, alpha-1,3-glucosyltransferase	Anabolic		MGC2840			11q14.1	AJ224875	2.4.1.265	79053		NM_024079	Q9BVK2	9606	Homo Sapiens (Human)
GRG_73	HGNC:15672	ALG9	ALG9, alpha-1,2-mannosyltransferase	Anabolic	DIBD1		DOLPM	Dolichyl D-mannosyl phosphate dependent mannosyltransferases	11q23		2.4.1.259, 2.4.1.261	79796	12030331, 15148656	NM_024740	Q9H6U8	9606	Homo Sapiens (Human)
GRG_74	HGNC:918	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)	Anabolic	B3GALT3	beta3Gal-T3, galT3, P1, GLOB	bloodgroup, B3GT	Blood group antigens, Beta 3-glycosyltransferases	3q25	Y15062	2.4.1.79	8706	9582303, 10993897	NM_033167	O75752	9606	Homo Sapiens (Human)
GRG_75	HGNC:28596	B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	Anabolic		MGC39558	B3GT	Beta 3-glycosyltransferases	1q42.3	BC029564		148789	14724282	NM_152490	Q8NCR0	9606	Homo Sapiens (Human)
GRG_76	HGNC:916	B3GALT1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1	Anabolic		beta3Gal-T1	B3GT	Beta 3-glycosyltransferases	2q24.3	E07739		8708	9582303	NM_020981	Q9Y5Z6	9606	Homo Sapiens (Human)
GRG_77	HGNC:917	B3GALT2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2	Anabolic		beta3Gal-T2	B3GT	Beta 3-glycosyltransferases	1q31	Y15060		8707	9582303, 9417100	NM_003783	O43825	9606	Homo Sapiens (Human)
GRG_78	HGNC:919	B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4	Anabolic		beta3Gal-T4, GalT4	B3GT	Beta 3-glycosyltransferases	6p21.3	Y15061		8705	9582303		O96024	9606	Homo Sapiens (Human)
GRG_79	HGNC:920	B3GALT5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	Anabolic		beta3Gal-T5, B3GalT-V, GLCT5, B3T5	B3GT	Beta 3-glycosyltransferases	21q22.3	AB020337		10317	10212226	NM_033170	Q9Y2C3	9606	Homo Sapiens (Human)
GRG_80	HGNC:17978	B3GALT6	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	Anabolic		beta3GalT6	B3GT	Beta 3-glycosyltransferases	1p36.33	AY050570		126792	11551958	NM_080605	Q96L58	9606	Homo Sapiens (Human)
GRG_81	HGNC:20207	B3GALTL	beta 1,3-galactosyltransferase-like	Anabolic		B3GTL, B3Glc-T	B3GT	Beta 3-glycosyltransferases	13q12.3	AB101481		145173	12943678, 16899492, 17032646	NM_194318	Q6Y288	9606	Homo Sapiens (Human)
GRG_82	HGNC:921	B3GAT1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	Anabolic	CD57, LEU7	GlcAT-P, HNK-1, NK-1	CD, B3GAT	CD molecules, Beta-1,3-glucuronyltransferases	11q25	AB029396		27087		NM_018644	Q9P2W7	9606	Homo Sapiens (Human)
GRG_83	HGNC:922	B3GAT2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	Anabolic		GlcAT-S	B3GAT	Beta-1,3-glucuronyltransferases	6q12	AB075843		135152	12383500	NM_080742	Q9NPZ5	9606	Homo Sapiens (Human)
GRG_84	HGNC:923	B3GAT3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	Anabolic		GlcAT-I	B3GAT	Beta-1,3-glucuronyltransferases	11q12	AB009598		26229	9506957	NM_012200	O94766	9606	Homo Sapiens (Human)
GRG_85	HGNC:15685	B3GNT1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1	Anabolic	B3GNT6	iGNT, iGAT, iGnT, BETA3GNTI, B3GN-T1	B3GT	Beta 3-glycosyltransferases	11q13.2	AF029893	2.4.1.149	11041	9405606	NM_006876	O43505	9606	Homo Sapiens (Human)
GRG_86	HGNC:15629	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	Anabolic	B3GNT1	B3GNT-2, BETA3GNT, B3GN-T2, B3GN-T1	B3GT	Beta 3-glycosyltransferases	2p15	AB049584		10678	9892646, 11042166	NM_006577	Q9NY97	9606	Homo Sapiens (Human)
GRG_87	HGNC:13528	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	Anabolic	TMEM3	B3GN-T3, beta3Gn-T3, HP10328, B3GNT-3	B3GT	Beta 3-glycosyltransferases	19p13.1	AB015630		10331	10072769, 11042166	NM_014256	Q9Y2A9	9606	Homo Sapiens (Human)
GRG_88	HGNC:15683	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	Anabolic		B3GN-T4, beta3Gn-T4	B3GT	Beta 3-glycosyltransferases	12q24	AB049586		79369	11042166	NM_030765	Q9C0J1	9606	Homo Sapiens (Human)
GRG_89	HGNC:15684	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	Anabolic		B3GN-T5, beta3Gn-T5	B3GT	Beta 3-glycosyltransferases	3q28	AB045278	2.4.1.206	84002	11283017	NM_032047	Q9BYG0	9606	Homo Sapiens (Human)
GRG_90	HGNC:24141	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase)	Anabolic		B3Gn-T6	B3GT	Beta 3-glycosyltransferases	11q13.4	AB073740		192134	11821425	NM_138706	Q6ZMB0	9606	Homo Sapiens (Human)
GRG_91	HGNC:18811	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	Anabolic		beta3GnT7	B3GT	Beta 3-glycosyltransferases	2q36.1	AK000770		93010	12061784	NM_145236	Q8NFL0	9606	Homo Sapiens (Human)
GRG_92	HGNC:24139	B3GNT8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	Anabolic	B3GALT7	BGALT15, beta3Gn-T8	B3GT	Beta 3-glycosyltransferases	19q13	AY277592		374907	15486459	NM_198540	Q7Z7M8	9606	Homo Sapiens (Human)
GRG_93	HGNC:21727	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	Anabolic		B3GNT8	GLT2	Glycosyltransferase family 2 domain containing	17q25.3	AY634364		146712		NM_001009905	Q67FW5	9606	Homo Sapiens (Human)
GRG_94	HGNC:4117	B4GALNT1	beta-1,4-N-acetyl-galactosaminyl transferase 1	Anabolic	GALGT, SPG26	beta1-4GalNAc-T	B4GT, GLT2	Beta 4-glycosyltransferases, Glycosyltransferase family 2 domain containing	12q13.3	M83651	2.4.1.92	2583	1601877, 23746551	NM_001478	Q00973	9606	Homo Sapiens (Human)
GRG_95	HGNC:24136	B4GALNT2	beta-1,4-N-acetyl-galactosaminyl transferase 2	Anabolic	GALGT2	Sda, Cad	B4GT, GLT2	Beta 4-glycosyltransferases, Glycosyltransferase family 2 domain containing	17q21.33	AJ517770	2.4.1.-	124872	8782649, 12678917	NM_153446	Q8NHY0	9606	Homo Sapiens (Human)
GRG_96	HGNC:24137	B4GALNT3	beta-1,4-N-acetyl-galactosaminyl transferase 3	Anabolic		B4GalNac-T3, FLJ16224, FLJ40362	B4GT	Beta 4-glycosyltransferases	12p13.33	AB089940	2.4.1.-	283358	12966086	NM_173593	Q6L9W6	9606	Homo Sapiens (Human)
GRG_97	HGNC:26315	B4GALNT4	beta-1,4-N-acetyl-galactosaminyl transferase 4	Anabolic		FLJ25045, NGalNAc-T1	B4GT	Beta 4-glycosyltransferases	11p15.5	AB089939	2.4.1.-	338707	15044014	NM_178537	Q76KP1	9606	Homo Sapiens (Human)
GRG_98	HGNC:924	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	Anabolic	GGTB2	beta4Gal-T1	B4GT	Beta 4-glycosyltransferases	9p13	X14085	2.4.1.22	2683	9597550	NM_001497	P15291	9606	Homo Sapiens (Human)
GRG_99	HGNC:925	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	Anabolic		beta4Gal-T2	B4GT	Beta 4-glycosyltransferases	1p34-p33	AF038660		8704	9405390, 9597550	NM_003780	O60909	9606	Homo Sapiens (Human)
GRG_100	HGNC:926	B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3	Anabolic		beta4Gal-T3	B4GT	Beta 4-glycosyltransferases	1q21-q23	BC006099		8703	9405390, 9597550	NM_003779	O60512	9606	Homo Sapiens (Human)
GRG_101	HGNC:927	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	Anabolic		beta4Gal-T4	B4GT	Beta 4-glycosyltransferases	3q13.3	AF022367		8702	9597550	NM_003778	O60513	9606	Homo Sapiens (Human)
GRG_102	HGNC:928	B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5	Anabolic		beta4GalT-V	B4GT	Beta 4-glycosyltransferases	20q13.1-q13.2	AB004550		9334	9597550, 9435216	NM_004776	O43286	9606	Homo Sapiens (Human)
GRG_103	HGNC:929	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	Anabolic		beta4GalT-VI	B4GT	Beta 4-glycosyltransferases	18q11	AF038664		9331	9597550, 12180132	NM_004775	Q9UBX8	9606	Homo Sapiens (Human)
GRG_104	HGNC:930	B4GALT7	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7	Anabolic		XGALT-1, beta4Gal-T7	B4GT	Beta 4-glycosyltransferases	5q35.1-q35.3	AB028600		11285	10438455, 10473568	NM_007255	Q9UBV7	9606	Homo Sapiens (Human)
GRG_105	HGNC:24337	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1	Anabolic		C1GALT, T-synthase	B3GT	Beta 3-glycosyltransferases	7p21.3	AF155582	2.4.1.122	56913	10580128, 11677243	NM_020156	Q9NS00	9606	Homo Sapiens (Human)
GRG_106	HGNC:24290	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	Anabolic		CSGalNAcT-1, FLJ11264, ChGn	B4GT	Beta 4-glycosyltransferases	8p21.3	AK002126		55790	17145758, 12446672	NM_018371	Q8TDX6	9606	Homo Sapiens (Human)
GRG_107	HGNC:24291	CHPF	chondroitin polymerizing factor	Anabolic		CSS2, CHSY2	B3GT, B4GT	Beta 3-glycosyltransferases, Beta 4-glycosyltransferases	2q35	BC008878	2.4.1.175, 2.4.1.226	79586	11230166, 12716890	NM_024536	Q8IZ52	9606	Homo Sapiens (Human)
GRG_108	HGNC:1969	CHST1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Anabolic		C6ST, KSGal6ST	SULTM	Sulfotransferases, membrane-bound	11p11.2	U65637		8534	9405439, 9639683	NM_003654	O43916	9606	Homo Sapiens (Human)
GRG_109	HGNC:19650	CHST10	carbohydrate sulfotransferase 10	Anabolic		HNK-1ST	SULTM	Sulfotransferases, membrane-bound	2q11.2	BC010441		9486	12080076	NM_004854	O43529	9606	Homo Sapiens (Human)
GRG_110	HGNC:17422	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	Anabolic		C4ST1, C4St-1, C4ST, HSA269537	SULTM	Sulfotransferases, membrane-bound	12q23.3	AB042326	2.8.2.5	50515	10781601	NM_018413	Q9NPF2	9606	Homo Sapiens (Human)
GRG_111	HGNC:17423	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	Anabolic		C4S-2, C4ST2	SULTM	Sulfotransferases, membrane-bound	7p22	AF239822	2.8.2.5	55501	10781601	NM_018641	Q9NRB3	9606	Homo Sapiens (Human)
GRG_112	HGNC:21755	CHST13	carbohydrate (chondroitin 4) sulfotransferase 13	Anabolic		C4ST3	SULTM	Sulfotransferases, membrane-bound	3q21.3	AY120869	2.8.2.5	166012	12080076	NM_152889	Q8NET6	9606	Homo Sapiens (Human)
